,Orientation,Ventilation,Shading,Insulation Thickness,Window to Wall Ratio,Electricity:Facility,DistrictCooling:Facility,DistrictHeating:Facility,total (Q)
78,270,0.12,19.20379461431073,0.06687097991612062,0.5687601845427589,5770991151.335245,511768.18033822015,20579815293.83178,156.19327956372962
79,180,0.12,23.0667933472128,0.0856609525268006,0.40692171130422083,5773034362.5,104442.85779256519,18516232644.81761,143.97141557126662
80,90,0.12,13.182458929846396,0.3189036974541054,0.36279754599589253,5772870333.749616,0.0,15179579967.324886,124.19234214109412
81,180,0.0,26.482816234573185,0.1584583309647924,0.6072219847160396,5773023653.349442,27932171.448462505,17524382262.986477,138.2572599733719
82,180,0.12,17.947131139994436,0.17367230685269133,0.8141405570183659,5772975686.982331,1458647.1143275895,18081280297.75211,141.40098322662203
83,270,0.0,12.624004673990123,0.01765675393945249,0.14866787771744538,5772951353.3955,85158804.35556939,26426066503.230396,191.35936160261502
84,0,0.12,0.2896465444010025,0.16930974405324076,0.6881807215954802,5773034362.5,0.0,17994388422.88208,140.877647242186
85,90,0.12,4.7975342416933735,0.48530649300081286,0.8743192891324161,5771862565.496467,1749933.4622200287,17001849247.1165,134.9979547473221
86,270,0.0,1.548147274171251,0.012319867397644933,0.1934210746876964,5772877016.898201,123892013.28490987,28686249433.757214,204.98538355321594
87,180,0.0,25.060085305139253,0.4796637868933359,0.25524493276887705,5773034362.5,0.0,14270962094.871784,118.80762536786143
